,Kernel,Kernel_iterations,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,35172061,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,35171096,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,35169861,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,35172504,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,35171487,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,35171378,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,35166783,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,35167209,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,35170318,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,35169635,43,8,original,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,103007288,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
1,103033288,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
2,102996889,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
3,103058268,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
4,103000158,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
5,103019075,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
6,102967458,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
7,102961141,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
8,103085919,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
9,102977817,15,8,original,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
0,479438131,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
1,484658052,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
2,481742638,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
3,482724888,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
4,484618710,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
5,483876682,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
6,482054648,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
7,483760363,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
8,482163255,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
9,489820897,4,8,original,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
0,4387943783,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
1,4376708204,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
2,4402092031,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
3,4365270989,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
4,4388849754,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
5,4386822025,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
6,4358807424,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
7,4354897333,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
8,4382331066,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
9,4353730839,1,8,original,,128_128_128_128,4194304,128,128,16384,128,128,128x128,n_to_m_saturated
0,62807459646,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
1,62754912040,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
2,62849880232,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
3,62821858991,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
4,62818119538,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
5,62811675172,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
6,62783474039,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
7,62796330749,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
8,62802271019,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
9,62835881983,1,8,original,,256_256_128_128,16777216,256,256,65536,128,128,128x128,n_to_m_saturated
