,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,3904,384282,4,warp-per-shift,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4193,357681,16,warp-per-shift,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4315,347763,32,warp-per-shift,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5087,294862,4,warp-per-shift,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5138,292000,16,warp-per-shift,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5879,254987,32,warp-per-shift,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6442,233520,4,warp-per-shift,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7802,192222,16,warp-per-shift,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7883,190378,32,warp-per-shift,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,17107,87532,4,warp-per-shift,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,20229,74133,16,warp-per-shift,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,20641,72654,32,warp-per-shift,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,41620,36104,4,warp-per-shift,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,45829,32728,16,warp-per-shift,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,45559,32935,32,warp-per-shift,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,163714,9149,4,warp-per-shift,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,172069,8709,16,warp-per-shift,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,170874,8768,32,warp-per-shift,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,481790,3112,4,warp-per-shift,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,490253,3057,16,warp-per-shift,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,491518,3050,32,warp-per-shift,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2352070,639,4,warp-per-shift,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2352320,638,16,warp-per-shift,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2359745,636,32,warp-per-shift,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,7496769,202,4,warp-per-shift,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,7331005,205,16,warp-per-shift,16,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,7346815,205,32,warp-per-shift,32,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
